,filename,IoU_traditional,IoU_unet,unet_tp,unet_tn,unet_fp,unet_fn
80,006751_4.jpg,0.6165390505359878,0.8811479726171669,16733,46546,2172,85
81,006842_1.jpg,0.5362475508411594,0.8774922260837754,19189,43668,2458,221
82,006875_1.jpg,0.7310956625581098,0.8797049366370342,18604,44388,1279,1265
83,007040_1.jpg,0.0412080325087781,0.0031271376917814,96,34837,5,30598
84,007093_1.jpg,0.4715955163367517,0.487385652383245,10123,44766,7481,3166
85,007193_9.jpg,0.2712742281390361,0.1493747105141269,1290,56900,596,6750
86,007251_1.jpg,0.6232789066898705,0.7531105918019326,11924,49703,963,2946
87,007380_2.jpg,0.5337767989572565,0.508557457212714,10608,44677,212,10039
88,007428_1.jpg,0.5211153495594639,0.7550690147548786,15864,44526,2272,2874
89,007595_1.jpg,0.0929452426131743,0.3592546077865653,10584,36075,3662,15215
90,007666_1.jpg,0.7157258737523784,0.9061437107400032,29572,32901,3034,29
91,007797_1.jpg,0.7202587567055854,0.3724949172233517,7695,44878,1549,11414
92,007856_1.jpg,0.7347084729175293,0.9393552052265304,19842,44413,1064,217
93,008067_1.jpg,0.9279516171443596,0.9276532137518684,18618,45466,1255,197
